frame: 132; track: 1; class: hummingbird; bbox: (525, 221, 654, 287);
frame: 133; track: 1; class: hummingbird; bbox: (517, 221, 659, 292);
frame: 134; track: 1; class: hummingbird; bbox: (505, 221, 661, 298);
frame: 135; track: 1; class: hummingbird; bbox: (497, 221, 661, 303);
frame: 136; track: 1; class: hummingbird; bbox: (493, 221, 663, 306);
frame: 137; track: 1; class: hummingbird; bbox: (483, 209, 674, 307);
frame: 138; track: 1; class: hummingbird; bbox: (475, 198, 686, 310);
frame: 139; track: 1; class: hummingbird; bbox: (475, 193, 691, 313);
frame: 140; track: 1; class: hummingbird; bbox: (483, 200, 688, 316);
frame: 142; track: 1; class: hummingbird; bbox: (497, 213, 683, 322);
frame: 143; track: 1; class: hummingbird; bbox: (507, 218, 685, 324);
frame: 144; track: 1; class: hummingbird; bbox: (513, 220, 687, 325);
frame: 145; track: 1; class: hummingbird; bbox: (513, 219, 688, 325);
frame: 146; track: 1; class: hummingbird; bbox: (512, 218, 684, 325);
frame: 147; track: 1; class: hummingbird; bbox: (506, 215, 679, 324);
frame: 148; track: 1; class: hummingbird; bbox: (502, 209, 677, 323);
frame: 149; track: 1; class: hummingbird; bbox: (508, 216, 670, 322);
frame: 150; track: 1; class: hummingbird; bbox: (504, 207, 674, 321);
frame: 151; track: 1; class: hummingbird; bbox: (497, 199, 674, 320);
frame: 152; track: 1; class: hummingbird; bbox: (489, 192, 673, 321);
frame: 153; track: 1; class: hummingbird; bbox: (485, 186, 673, 320);
frame: 154; track: 1; class: hummingbird; bbox: (483, 182, 673, 319);
frame: 155; track: 1; class: hummingbird; bbox: (483, 178, 672, 318);
frame: 156; track: 1; class: hummingbird; bbox: (486, 176, 672, 317);
frame: 157; track: 1; class: hummingbird; bbox: (488, 175, 671, 315);
frame: 158; track: 1; class: hummingbird; bbox: (491, 174, 670, 314);
frame: 159; track: 1; class: hummingbird; bbox: (494, 174, 668, 312);
frame: 160; track: 1; class: hummingbird; bbox: (498, 175, 666, 310);
frame: 161; track: 1; class: hummingbird; bbox: (501, 175, 665, 309);
frame: 162; track: 1; class: hummingbird; bbox: (503, 176, 662, 306);
frame: 163; track: 1; class: hummingbird; bbox: (505, 177, 660, 305);
frame: 164; track: 1; class: hummingbird; bbox: (506, 178, 657, 303);
frame: 165; track: 1; class: hummingbird; bbox: (507, 180, 656, 302);
frame: 166; track: 1; class: hummingbird; bbox: (507, 180, 655, 301);
frame: 167; track: 1; class: hummingbird; bbox: (507, 181, 654, 301);
frame: 168; track: 1; class: hummingbird; bbox: (508, 181, 653, 300);
frame: 169; track: 1; class: hummingbird; bbox: (508, 181, 653, 299);
frame: 170; track: 1; class: hummingbird; bbox: (508, 181, 653, 298);
frame: 171; track: 1; class: hummingbird; bbox: (509, 183, 651, 297);
frame: 172; track: 1; class: hummingbird; bbox: (513, 190, 646, 296);
frame: 173; track: 1; class: hummingbird; bbox: (519, 204, 638, 294);
frame: 174; track: 1; class: hummingbird; bbox: (525, 217, 630, 291);
frame: 175; track: 1; class: hummingbird; bbox: (526, 221, 629, 289);
frame: 176; track: 1; class: hummingbird; bbox: (531, 222, 636, 287);
frame: 177; track: 1; class: hummingbird; bbox: (535, 222, 646, 286);
frame: 178; track: 1; class: hummingbird; bbox: (534, 222, 651, 285);
frame: 179; track: 1; class: hummingbird; bbox: (529, 222, 654, 286);
frame: 180; track: 1; class: hummingbird; bbox: (522, 221, 659, 290);
frame: 181; track: 1; class: hummingbird; bbox: (510, 221, 659, 296);
frame: 182; track: 1; class: hummingbird; bbox: (503, 221, 662, 302);
frame: 183; track: 1; class: hummingbird; bbox: (499, 221, 668, 308);
frame: 184; track: 1; class: hummingbird; bbox: (486, 211, 678, 313);
frame: 185; track: 1; class: hummingbird; bbox: (478, 204, 684, 317);
frame: 186; track: 1; class: hummingbird; bbox: (478, 204, 686, 322);
frame: 187; track: 1; class: hummingbird; bbox: (488, 210, 686, 326);
frame: 188; track: 1; class: hummingbird; bbox: (501, 217, 687, 329);
frame: 189; track: 1; class: hummingbird; bbox: (510, 219, 686, 330);
frame: 190; track: 1; class: hummingbird; bbox: (520, 220, 691, 330);
frame: 191; track: 1; class: hummingbird; bbox: (525, 218, 695, 330);
frame: 192; track: 1; class: hummingbird; bbox: (521, 211, 697, 328);
frame: 193; track: 1; class: hummingbird; bbox: (518, 209, 693, 328);
frame: 194; track: 1; class: hummingbird; bbox: (516, 210, 684, 328);
frame: 195; track: 1; class: hummingbird; bbox: (514, 212, 677, 328);
frame: 196; track: 1; class: hummingbird; bbox: (515, 213, 672, 328);
frame: 197; track: 1; class: hummingbird; bbox: (515, 216, 666, 328);
frame: 198; track: 1; class: hummingbird; bbox: (505, 214, 659, 327);
frame: 199; track: 1; class: hummingbird; bbox: (497, 210, 655, 326);
frame: 200; track: 1; class: hummingbird; bbox: (491, 204, 655, 325);
frame: 201; track: 1; class: hummingbird; bbox: (487, 200, 657, 325);
frame: 202; track: 1; class: hummingbird; bbox: (485, 195, 659, 325);
frame: 203; track: 1; class: hummingbird; bbox: (484, 192, 661, 325);
frame: 204; track: 1; class: hummingbird; bbox: (485, 191, 661, 324);
frame: 205; track: 1; class: hummingbird; bbox: (487, 191, 661, 322);
frame: 206; track: 1; class: hummingbird; bbox: (490, 191, 660, 321);
frame: 207; track: 1; class: hummingbird; bbox: (492, 192, 659, 320);
frame: 208; track: 1; class: hummingbird; bbox: (495, 195, 657, 320);
frame: 209; track: 1; class: hummingbird; bbox: (498, 198, 655, 318);
frame: 210; track: 1; class: hummingbird; bbox: (499, 200, 653, 318);
frame: 211; track: 1; class: hummingbird; bbox: (501, 202, 651, 316);
frame: 212; track: 1; class: hummingbird; bbox: (502, 203, 650, 315);
frame: 213; track: 1; class: hummingbird; bbox: (502, 204, 650, 314);
frame: 214; track: 1; class: hummingbird; bbox: (503, 205, 650, 314);
frame: 215; track: 1; class: hummingbird; bbox: (502, 204, 651, 313);
frame: 216; track: 1; class: hummingbird; bbox: (502, 203, 651, 313);
frame: 217; track: 1; class: hummingbird; bbox: (502, 201, 653, 312);
frame: 218; track: 1; class: hummingbird; bbox: (500, 200, 655, 314);
frame: 219; track: 1; class: hummingbird; bbox: (500, 198, 657, 314);
frame: 220; track: 1; class: hummingbird; bbox: (502, 197, 659, 314);
frame: 221; track: 1; class: hummingbird; bbox: (506, 197, 662, 313);
frame: 222; track: 1; class: hummingbird; bbox: (511, 201, 659, 312);
frame: 223; track: 1; class: hummingbird; bbox: (517, 210, 652, 310);
