frame: 96; track: 1; class: hummingbird; bbox: (87, 81, 358, 226);
frame: 97; track: 1; class: hummingbird; bbox: (101, 81, 375, 228);
frame: 98; track: 1; class: hummingbird; bbox: (129, 81, 409, 232);
frame: 99; track: 1; class: hummingbird; bbox: (139, 81, 416, 230);
frame: 100; track: 1; class: hummingbird; bbox: (105, 81, 375, 226);
frame: 101; track: 1; class: hummingbird; bbox: (89, 81, 357, 225);
frame: 102; track: 1; class: hummingbird; bbox: (117, 81, 387, 225);
frame: 103; track: 1; class: hummingbird; bbox: (139, 81, 410, 225);
frame: 104; track: 1; class: hummingbird; bbox: (143, 82, 411, 224);
frame: 105; track: 1; class: hummingbird; bbox: (108, 82, 377, 223);
frame: 106; track: 1; class: hummingbird; bbox: (90, 82, 362, 225);
frame: 107; track: 1; class: hummingbird; bbox: (117, 82, 389, 225);
frame: 108; track: 1; class: hummingbird; bbox: (135, 81, 413, 227);
frame: 109; track: 1; class: hummingbird; bbox: (139, 81, 417, 227);
frame: 110; track: 1; class: hummingbird; bbox: (105, 81, 382, 228);
frame: 111; track: 1; class: hummingbird; bbox: (85, 81, 366, 230);
frame: 112; track: 1; class: hummingbird; bbox: (81, 81, 370, 236);
frame: 113; track: 1; class: hummingbird; bbox: (116, 81, 413, 241);
frame: 114; track: 1; class: hummingbird; bbox: (128, 81, 423, 241);
frame: 115; track: 1; class: hummingbird; bbox: (97, 81, 384, 237);
frame: 116; track: 1; class: hummingbird; bbox: (81, 81, 363, 235);
frame: 117; track: 1; class: hummingbird; bbox: (81, 81, 363, 237);
frame: 118; track: 1; class: hummingbird; bbox: (118, 81, 406, 240);
frame: 119; track: 1; class: hummingbird; bbox: (135, 81, 414, 235);
frame: 120; track: 1; class: hummingbird; bbox: (102, 81, 378, 234);
frame: 121; track: 1; class: hummingbird; bbox: (86, 81, 360, 232);
frame: 122; track: 1; class: hummingbird; bbox: (90, 81, 364, 234);
frame: 123; track: 1; class: hummingbird; bbox: (124, 81, 403, 237);
frame: 124; track: 1; class: hummingbird; bbox: (136, 81, 413, 235);
frame: 125; track: 1; class: hummingbird; bbox: (109, 81, 381, 233);
frame: 126; track: 1; class: hummingbird; bbox: (89, 81, 364, 234);
frame: 127; track: 1; class: hummingbird; bbox: (82, 81, 365, 240);
frame: 128; track: 1; class: hummingbird; bbox: (112, 81, 410, 249);
frame: 129; track: 1; class: hummingbird; bbox: (117, 81, 428, 259);
frame: 130; track: 1; class: hummingbird; bbox: (86, 81, 405, 267);
frame: 131; track: 1; class: hummingbird; bbox: (56, 81, 389, 280);
frame: 132; track: 1; class: hummingbird; bbox: (69, 81, 398, 282);
frame: 133; track: 1; class: hummingbird; bbox: (116, 83, 439, 286);
frame: 134; track: 1; class: hummingbird; bbox: (130, 83, 451, 293);
frame: 135; track: 1; class: hummingbird; bbox: (79, 83, 400, 295);
frame: 136; track: 1; class: hummingbird; bbox: (62, 82, 381, 295);
frame: 137; track: 1; class: hummingbird; bbox: (83, 80, 392, 294);
frame: 138; track: 1; class: hummingbird; bbox: (122, 77, 425, 293);
